date,station,depth,inc.temp,subs,conc.uM,rep,treatment,time,fl,std,air.temp
10/22/13,st 1,5,17,arg,400,1,live,15:19,4445,,
10/22/13,st 1,5,17,arg,400,2,live,15:20,4519,,
10/22/13,st 1,5,17,arg,400,3,live,15:20,4346,,
10/22/13,st 1,5,17,arg,400,1,killed,15:20,4533,,
10/22/13,st 1,5,17,arg,400,2,killed,15:20,4386,,
10/22/13,st 1,5,17,arg,400,3,killed,15:20,4292,,
10/22/13,st 1,5,17,gly,0,1,live,15:22,158.5,,
10/22/13,st 1,5,17,gly,50,1,live,15:22,1821,,
10/22/13,st 1,5,17,gly,100,1,live,15:22,2883,,
10/22/13,st 1,5,17,gly,150,1,live,15:22,3901,,
10/22/13,st 1,5,17,gly,200,1,live,15:23,5042,,
10/22/13,st 1,5,17,gly,250,1,live,15:23,5990,,
10/22/13,st 1,5,17,gly,300,1,live,15:23,6721,,
10/22/13,st 1,5,17,gly,400,1,live,15:23,8500,,
10/22/13,st 1,5,17,gly,400,2,live,15:24,8783,,
10/22/13,st 1,5,17,gly,400,3,live,15:24,8446,,
10/22/13,st 1,5,17,gly,400,1,killed,15:25,8943,,
10/22/13,st 1,5,17,gly,400,2,killed,15:25,8801,,
10/22/13,st 1,5,17,gly,400,3,killed,15:25,8729,,
10/22/13,st 1,5,17,leu,0,1,live,15:26,153.6,,
10/22/13,st 1,5,17,leu,50,1,live,15:26,2057,,
10/22/13,st 1,5,17,leu,100,1,live,15:26,3216,,
10/22/13,st 1,5,17,leu,150,1,live,15:27,3938,,
10/22/13,st 1,5,17,leu,200,1,live,15:27,5093,,
10/22/13,st 1,5,17,leu,250,1,live,15:27,5938,,
10/22/13,st 1,5,17,leu,300,1,live,15:27,7404,,
10/22/13,st 1,5,17,leu,400,1,live,15:28,7689,,
10/22/13,st 1,5,17,leu,400,2,live,15:28,7839,,
10/22/13,st 1,5,17,leu,400,3,live,15:28,7563,,
10/22/13,st 1,5,17,leu,400,1,killed,15:28,6761,,
10/22/13,st 1,5,17,leu,400,2,killed,15:28,6627,,
10/22/13,st 1,5,17,leu,400,3,killed,15:29,6702,,
10/22/13,st 1,5,17,pyr,0,1,live,15:29,153.1,,
10/22/13,st 1,5,17,pyr,50,1,live,15:30,1124,,
10/22/13,st 1,5,17,pyr,100,1,live,15:30,1740,,
10/22/13,st 1,5,17,pyr,150,1,live,15:30,2519,,
10/22/13,st 1,5,17,pyr,200,1,live,15:30,3309,,
10/22/13,st 1,5,17,pyr,250,1,live,15:31,3876,,
10/22/13,st 1,5,17,pyr,300,1,live,15:31,4504,,
10/22/13,st 1,5,17,pyr,400,1,live,15:32,5821,,
10/22/13,st 1,5,17,pyr,400,2,live,15:32,5783,,
10/22/13,st 1,5,17,pyr,400,3,live,15:32,5708,,
10/22/13,st 1,5,17,pyr,400,1,killed,15:32,5631,,
10/22/13,st 1,5,17,pyr,400,2,killed,15:33,5653,,
10/22/13,st 1,5,17,pyr,400,3,killed,15:33,5667,,
10/22/13,st 1,5,17,ala-ala-phe,0,1,live,15:34,154,,
10/22/13,st 1,5,17,ala-ala-phe,50,1,live,15:34,1496,,
10/22/13,st 1,5,17,ala-ala-phe,100,1,live,15:34,2045,,
10/22/13,st 1,5,17,ala-ala-phe,150,1,live,15:34,2805,,
10/22/13,st 1,5,17,ala-ala-phe,200,1,live,15:34,3696,,
10/22/13,st 1,5,17,ala-ala-phe,250,1,live,15:35,4590,,
10/22/13,st 1,5,17,ala-ala-phe,300,1,live,15:35,5157,,
10/22/13,st 1,5,17,ala-ala-phe,400,1,live,15:35,7038,,
10/22/13,st 1,5,17,ala-ala-phe,400,2,live,15:35,6776,,
10/22/13,st 1,5,17,ala-ala-phe,400,3,live,15:36,6720,,
10/22/13,st 1,5,17,ala-ala-phe,400,1,killed,15:36,6631,,
10/22/13,st 1,5,17,ala-ala-phe,400,2,killed,15:36,6545,,
10/22/13,st 1,5,17,ala-ala-phe,400,3,killed,15:36,6513,,
10/22/13,st 1,5,17,arg,0,1,live,16:04,159.7,802.6,21.8
10/22/13,st 1,5,17,arg,50,1,live,16:04,1043,,
10/22/13,st 1,5,17,arg,100,1,live,16:04,1839,,
10/22/13,st 1,5,17,arg,150,1,live,16:04,2167,,
10/22/13,st 1,5,17,arg,200,1,live,16:05,2685,,
10/22/13,st 1,5,17,arg,250,1,live,16:05,3193,,
10/22/13,st 1,5,17,arg,300,1,live,16:05,3673,,
10/22/13,st 1,5,17,arg,400,1,live,16:05,4713,,
10/22/13,st 1,5,17,arg,400,2,live,16:06,4745,,
10/22/13,st 1,5,17,arg,400,3,live,16:06,4520,,
10/22/13,st 1,5,17,arg,400,1,killed,16:06,4514,,
10/22/13,st 1,5,17,arg,400,2,killed,16:07,4368,,
10/22/13,st 1,5,17,arg,400,3,killed,16:07,4256,,
10/22/13,st 1,5,17,gly,0,1,live,16:08,156.3,807.5,21.9
10/22/13,st 1,5,17,gly,50,1,live,16:08,1919,,
10/22/13,st 1,5,17,gly,100,1,live,16:08,2995,,
10/22/13,st 1,5,17,gly,150,1,live,16:08,4065,,
10/22/13,st 1,5,17,gly,200,1,live,16:08,5155,,
10/22/13,st 1,5,17,gly,250,1,live,16:09,6225,,
10/22/13,st 1,5,17,gly,300,1,live,16:09,6980,,
