"","sample","slope","int","slope.se","int.se","pval","rsq","n"
"76","X100.uM.buf.in.sam.12",0.938356163831273,308.369863012076,0.242891076485588,1.68863168385737,0.000244635526731754,0.173697319277595,73
"77","X50.uM.MUB.C.sam.12",3434.78767142699,1268.02737802766,9.46897168502238,65.8303542156927,9.01275717283508e-118,0.999460700626511,73
"78","X50.uM.MUB.C.sam.13",3405.11810458736,1977.07217648176,17.1845274261335,119.47057876211,3.80508990613776e-99,0.998194969464787,73
"79","X2.uM.MUB.buf.13",1058.09089233333,76205.8245034479,47.8028220528512,332.335633997778,1.36953802057227e-33,0.873425725228874,73
"80","X50.uM.MUB.G.buf.6",0.772306553189576,410.736023690499,0.61084579766693,4.24673307400288,0.210248830431298,0.022018540667494,73
"81","X2.uM.MUB.sam.13",209.656053354911,55277.7349116444,61.8577250907623,430.048382143007,0.00114695499553437,0.139263911121507,73
"82","X100.uM.buf.in.sam.13",0.945205480223034,299.575342456156,0.194457507704145,1.35191096117787,6.77492316266146e-06,0.249683213658118,73
"83","X50.uM.MUB.G.sam.12",4363.45224018146,609.492015410321,17.4080167433496,121.024325188348,2.20055851279868e-106,0.998871228616929,73
"84","X50.uM.MUB.G.sam.13",4842.01888218067,-668.524277458467,22.2004437572639,154.342321943778,4.23225172544519e-102,0.998509675024429,73
"85","X2.uM.MUB.buf.14",1396.91318034282,78347.9866640196,77.9834489448899,542.157927784674,4.7848684816094e-28,0.818819117831382,73
"86","X50.uM.MUB.C.buf.7",8.66382821239748,690.592373145795,0.455571932495137,3.16723533288416,1.40880083590382e-29,0.835900522024101,73
"87","X2.uM.MUB.sam.14",890.783043375083,53465.9181734199,56.4552049674897,392.488885166689,6.54911796860848e-25,0.778099778926006,73
"88","X100.uM.buf.in.sam.14",2.46908552388518,306.171788213564,0.23909245051285,1.66222280846557,8.75488664103148e-16,0.600326516746016,73
"89","X50.uM.MUB.C.sam.14",3651.78137748494,1221.70897615494,8.511100538809,59.1710253101095,6.0219496052551e-123,0.999614474785691,73
"90","X50.uM.MUB.C.sam.15",3878.28415423491,1218.78820487463,7.44047086327805,51.7277745413363,6.03526405675582e-129,0.999738743887127,73
"91","X2.uM.MUB.buf.15",1218.51795637057,77750.8374608463,48.5104842098548,337.255455495848,4.71135492711995e-37,0.89885271381643,73
"92","X50.uM.MUB.G.buf.7",6.83580155534876,366.081081042908,0.222878187449742,1.54949771895251,1.07327846172838e-42,0.929819983544184,73
"93","X2.uM.MUB.sam.15",676.643650533056,54563.3298740643,43.2820059840113,300.905935710004,1.09249473607057e-24,0.774890659974393,73
"94","X100.uM.buf.in.sam.15",0.269714920339944,305.874861161473,0.284520708313121,1.97804995441892,0.346364047979653,0.0124986052071981,73
"95","X50.uM.MUB.G.sam.14",4950.93372854563,-1665.36952060473,35.4779331923455,246.650321342392,2.3087080108766e-88,0.996367377692984,73
"96","X50.uM.MUB.G.sam.15",5196.09774186739,-2244.02483470162,35.7915036548741,248.830331517361,1.40799332748218e-89,0.996642600202315,73
